"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"aDjyevBo","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","aDjyevBo",1608,146144,3569,0.0244211188964309,"Neutrophils"
"Ag67xcbT","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","Ag67xcbT",4504,430137,6192,0.0143954135542862,"Macrophages"
"AkDJcEDs","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","AkDJcEDs",3844,274341,3637,0.0132572236741865,"Macrophages"
"apcfzBQP","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","apcfzBQP",1531,125106,394,0.00314932936869535,"Neutrophils"
"AtIpJava","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","AtIpJava",3619,255286,2519,0.00986736444615059,"Neutrophils"
"bbBzsRLv","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","bbBzsRLv",4992,340304,4293,0.012615191123231,"Neutrophils"
"BDuOm57e","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","BDuOm57e",3802,283941,5935,0.0209022296885621,"Macrophages"
"bSyxP3qj","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","bSyxP3qj",2257,290165,1465,0.00504885151551703,"Neutrophils"
"BWLlb7Ru","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","BWLlb7Ru",2809,329545,2351,0.00713407880562594,"Neutrophils"
"BzPBrQ7P","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","BzPBrQ7P",2802,504395,4822,0.00955996788231446,"Neutrophils"
"cfwRS0We","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","cfwRS0We",2741,231083,1789,0.00774180705633906,"Neutrophils"
"CPZ3rwjA","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","CPZ3rwjA",4683,425394,2827,0.00664560384020461,"Neutrophils"
"CSRW4z7m","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","CSRW4z7m",5884,529856,8176,0.0154306075612997,"Macrophages"
"DmlHUfYt","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","DmlHUfYt",4721,279100,2558,0.00916517377284128,"Neutrophils"
"DmLZwg69","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","DmLZwg69",1957,224630,1094,0.00487023104660998,"Neutrophils"
"DZXa5JNd","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","DZXa5JNd",2550,379354,1987,0.00523785171633883,"Neutrophils"
"E1UtsM3I","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","E1UtsM3I",2830,469501,4437,0.00945045910445345,"Neutrophils"
"E3qz2gUB","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","E3qz2gUB",3768,301520,6533,0.0216668877686389,"Macrophages"
"EEowgoaM","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","EEowgoaM",2070,349770,1483,0.00423992909626326,"Neutrophils"
"EGpWZDn2","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","EGpWZDn2",2940,368732,2239,0.0060721608105616,"Neutrophils"
"f3UMxyy8","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","f3UMxyy8",2056,148357,624,0.00420607049212373,"Neutrophils"
"f8fD04E0","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","f8fD04E0",2733,247440,1918,0.00775137407048173,"Neutrophils"
"FcOiwnpm","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","FcOiwnpm",2008,98576,1293,0.0131167829897744,"Neutrophils"
"fdNDMiuB","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","fdNDMiuB",2234,259412,1178,0.00454103896504402,"Neutrophils"
"fF4Zpqqs","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","fF4Zpqqs",2963,471071,2708,0.00574860265225412,"Neutrophils"
