"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"ufJHgIhE","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","ufJHgIhE",6426,237707,1951,0.00820758328530502,"Keratinocytes"
"ufJJpQO3","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","ufJJpQO3",5145,258342,5243,0.0202948030130602,"Keratinocytes"
"uG0IiERl","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","uG0IiERl",5146,662144,5196,0.00784723564662671,"Keratinocytes"
"uljmvIMP","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","uljmvIMP",5426,265836,3770,0.0141816759204923,"Keratinocytes"
"uLkJv9Qa","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","uLkJv9Qa",5494,407736,5623,0.0137907861949889,"Keratinocytes"
"UNrnRexf","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","UNrnRexf",4607,289006,3404,0.0117783021805776,"Keratinocytes"
"uU4O9wWS","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","uU4O9wWS",5407,199961,2724,0.0136226564180015,"Keratinocytes"
"UxF1phMl","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","UxF1phMl",4644,203337,2167,0.0106571848704368,"Keratinocytes"
"UYGcqADG","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","UYGcqADG",4727,266323,6298,0.0236479763294946,"Keratinocytes"
"vb4PWCtz","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","vb4PWCtz",5244,429013,3427,0.00798810292462,"Keratinocytes"
"vFaHAhIX","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","vFaHAhIX",4772,315921,6739,0.0213312821876355,"Keratinocytes"
"VI4YZiTo","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","VI4YZiTo",4374,239608,4349,0.0181504791158893,"Keratinocytes"
"vJDTRIKU","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","vJDTRIKU",5169,542345,6911,0.0127428113101439,"Keratinocytes"
"VOJjMxXH","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","VOJjMxXH",5190,306407,6378,0.0208154513441273,"Keratinocytes"
"vqYf5qIS","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","vqYf5qIS",5210,326841,5273,0.0161332268595433,"Keratinocytes"
"VU3c5yGL","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","VU3c5yGL",5293,206732,3566,0.017249385678076,"Keratinocytes"
"VxWQpPny","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","VxWQpPny",5133,626220,4764,0.00760755006227843,"Keratinocytes"
"wae4RxN1","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","wae4RxN1",4942,246720,5740,0.0232652399481193,"Keratinocytes"
"wEJU3pmp","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","wEJU3pmp",6138,282378,3530,0.0125009738719022,"Keratinocytes"
"wLXT2of8","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","wLXT2of8",4926,270907,6179,0.0228085653010074,"Keratinocytes"
"wM1dVCQE","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","wM1dVCQE",5985,315240,5022,0.0159307194518462,"Keratinocytes"
