"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"o3f7Ggx7","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","o3f7Ggx7",5210,535465,14690,0.0274340993342235,"Urothelial cells"
"O3MC9bkn","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","O3MC9bkn",4962,507598,15416,0.0303704900334517,"Urothelial cells"
"o4TY2hLB","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","o4TY2hLB",5186,561086,15665,0.0279190712297224,"Urothelial cells"
"oADhPP2k","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","oADhPP2k",4692,393090,6838,0.0173955073901651,"Epithelial cells"
"obIxlBFf","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","obIxlBFf",5507,629667,11788,0.0187210065002613,"Urothelial cells"
"OKZzshHL","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","OKZzshHL",4944,467191,11061,0.0236755416949385,"Epithelial cells"
"oNZ0vTFd","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","oNZ0vTFd",4913,478735,14219,0.0297011916822459,"Epithelial cells"
"ooODTYNn","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","ooODTYNn",3885,254675,4449,0.0174693236477864,"Fibroblasts"
"orffQhjl","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","orffQhjl",3436,220932,4606,0.0208480437419659,"Fibroblasts"
"OUahBIPb","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","OUahBIPb",4718,389932,16180,0.0414944144107178,"Urothelial cells"
"P9XDHqLx","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","P9XDHqLx",4570,462338,13194,0.0285375634276222,"Epithelial cells"
"PA98EdV5","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","PA98EdV5",3745,233007,4054,0.0173986189256117,"Fibroblasts"
