"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"ne6uebmN","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","ne6uebmN",2158,169861,3789,0.0223064741170722,"T memory cells"
"nEvdrFt0","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","nEvdrFt0",1995,175355,7700,0.043910923555074,"T memory cells"
"nvuu6t2d","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","nvuu6t2d",1522,471911,11605,0.0245915013636046,"T memory cells"
"nx3WtC8n","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","nx3WtC8n",2161,97460,2978,0.0305561255899856,"B cells"
"o4okPzy2","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","o4okPzy2",2803,125293,5250,0.0419017822224705,"T memory cells"
"o4vZZAPA","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","o4vZZAPA",164,16359,15645,0.956354300385109,"Unknown"
"oA3abcWk","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","oA3abcWk",2301,178995,8348,0.0466381742506774,"T memory cells"
"occEHBky","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","occEHBky",2400,195942,7913,0.0403843994651479,"T memory cells"
"ogaQpVNC","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","ogaQpVNC",2317,102606,4575,0.0445880357873809,"T memory cells"
"ophOrgJp","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","ophOrgJp",2298,102425,4288,0.0418647791066634,"T memory cells"
"p6mnvPwR","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","p6mnvPwR",2172,481994,21050,0.0436727428142259,"T memory cells"
