"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"007jgOIy","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","007jgOIy",491,47676,33237,0.697143216712811,"Distal tubule cells"
"01nn9wZp","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","01nn9wZp",178,23334,21688,0.929459158309763,"Unknown"
"03Y85bTu","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","03Y85bTu",291,29096,14967,0.514400604894144,"Distal tubule cells"
"0ARejw8H","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0ARejw8H",1868,376065,42414,0.112783694308165,"Proximal tubule cells"
"0ffFhslc","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0ffFhslc",1493,176058,47837,0.271711595042543,"Proximal tubule cells"
"0GawI415","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0GawI415",178,222078,210791,0.949175514909176,"Unknown"
"0gaxcN1a","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0gaxcN1a",113,119731,112959,0.943439877725902,"Unknown"
"0GsLlq1c","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0GsLlq1c",1579,45985,312,0.00678482113732739,"Endothelial cells"
"0hTugZb3","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0hTugZb3",324,118258,91795,0.776226555497302,"Unknown"
"0isrdyNd","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0isrdyNd",2060,286265,3975,0.0138857352453147,"Macrophages"
"0IvidNBW","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0IvidNBW",450,79468,66884,0.841646952232345,"Unknown"
"0Kb66Ide","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0Kb66Ide",162,93475,84396,0.902872425782295,"Unknown"
"0Mf54Sn3","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0Mf54Sn3",685,33507,3272,0.0976512370549437,"Proximal tubule cells"
"0OaEK4um","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0OaEK4um",967,205980,95747,0.464836391882707,"Distal tubule cells"
"0oCINcke","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0oCINcke",1351,227183,50918,0.224127685610279,"Distal tubule cells"
"0QJGhc48","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0QJGhc48",1984,66399,776,0.0116869229958283,"Endothelial cells"
"0RkVhNP2","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0RkVhNP2",723,106362,75431,0.709191252514996,"Proximal tubule cells"
"0rto13sf","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0rto13sf",424,40662,26633,0.654984998278491,"Unknown"
"0rWuIto7","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0rWuIto7",2181,219958,7258,0.0329972085579974,"Endothelial cells"
"0RyU31bf","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0RyU31bf",1632,125693,954,0.00758992147534071,"Endothelial cells"
"0UcRCx5d","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0UcRCx5d",168,90783,87532,0.964189330601544,"Unknown"
"0V6kisi8","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0V6kisi8",117,188222,184482,0.980129846670421,"Unknown"
"0wxVW5j9","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0wxVW5j9",3525,678308,11845,0.0174625686266416,"Endothelial cells"
"0XjAnGJ3","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0XjAnGJ3",1486,332428,48841,0.14692204026135,"Proximal tubule cells"
"0zcWLIrE","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","0zcWLIrE",179,45650,43468,0.952201533406353,"Unknown"
"11G7lUzy","SRA653146","SRS2874274","Mus musculus","SMART-seq2","Kidney","11G7lUzy",1640,89967,41265,0.458668178332055,"Proximal tubule cells"
