"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"vlLuqYSs","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","vlLuqYSs",1863,406893,9141,0.0224653655875132,"Microglia"
"XaH03ZsV","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","XaH03ZsV",2040,517867,2678,0.00517121191348358,"Microglia"
"xhhZtKeV","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","xhhZtKeV",2021,348786,1432,0.00410566937893149,"Microglia"
"XHQKJB3w","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","XHQKJB3w",1870,461273,3854,0.00835513893074166,"Microglia"
"y6IFEnIo","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","y6IFEnIo",1885,464788,9516,0.0204738504436431,"Microglia"
"yiyzcEGN","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","yiyzcEGN",1941,315273,3520,0.0111649269046192,"Microglia"
"ysgsZWag","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","ysgsZWag",2196,494775,11117,0.0224687989490172,"Microglia"
"Yy5nUMpj","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","Yy5nUMpj",1869,465060,4830,0.0103857566765579,"Microglia"
"zloF4ItE","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","zloF4ItE",2025,483510,2514,0.00519947881119315,"Microglia"
"ZT5xVZsU","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","ZT5xVZsU",1888,448560,11288,0.0251649723559836,"Microglia"
"zuIa8Zc5","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","zuIa8Zc5",1736,379724,4366,0.0114978247358608,"Microglia"
"zVi93GHo","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","zVi93GHo",1919,331229,16,4.83049491439457e-05,"Microglia"
"0fDMVFvH","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","0fDMVFvH",1211,353678,1467,0.00414784069125023,"Microglia"
"0HxZnOW8","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","0HxZnOW8",1660,335885,2079,0.0061896184706075,"Microglia"
"1BW4LVps","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","1BW4LVps",1476,282261,1971,0.00698289880642384,"Microglia"
"1KHORrH5","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","1KHORrH5",2019,229796,501,0.0021801946073909,"Microglia"
"1U8JBmsK","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","1U8JBmsK",1787,535276,5080,0.00949043110470113,"Microglia"
"2Ao2avHg","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","2Ao2avHg",1218,12413,151,0.0121646660758882,"Microglia"
"2TNRwCrO","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","2TNRwCrO",2433,299562,5529,0.0184569471428285,"Microglia"
"32TSBXuQ","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","32TSBXuQ",1886,411772,2785,0.00676345161885704,"Microglia"
"3bGf6Iqg","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","3bGf6Iqg",1746,507336,6712,0.0132298910386805,"Microglia"
"3glmDaOP","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","3glmDaOP",932,254449,896,0.00352133433418878,"Microglia"
"4aDUIYYv","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","4aDUIYYv",1236,331180,2617,0.00790204722507398,"Microglia"
