"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"CZ2Mwz9a","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","CZ2Mwz9a",2897,316589,4189,0.0132316662928908,"Fibroblasts"
"dwITRFE8","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","dwITRFE8",2511,271011,3635,0.0134127397042924,"Fibroblasts"
"ekO0kGCl","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","ekO0kGCl",3082,321377,5393,0.0167809146267468,"Fibroblasts"
"Ez4wMoiZ","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","Ez4wMoiZ",2931,254493,2942,0.0115602393779004,"Fibroblasts"
"f25YG3PF","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","f25YG3PF",2491,290849,3835,0.0131855361373084,"Fibroblasts"
"FjrlX5Ug","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","FjrlX5Ug",2514,412445,10234,0.024813005370413,"Fibroblasts"
"ftTbcF4F","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","ftTbcF4F",2660,102948,4850,0.0471111629172009,"Myoblasts"
"H2P0JiMD","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","H2P0JiMD",2992,1251142,9146,0.00731012147302225,"Fibroblasts"
"IEJSvDmd","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","IEJSvDmd",2180,89702,4088,0.0455731198858442,"Myoblasts"
"IWdYHL8s","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","IWdYHL8s",2859,238948,3702,0.0154929105914257,"Fibroblasts"
"jJrtGa73","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","jJrtGa73",1591,58923,3682,0.0624883322301987,"Myoblasts"
"jMQ5uaja","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","jMQ5uaja",2570,358682,5505,0.0153478568760072,"Fibroblasts"
"jY97iwWT","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","jY97iwWT",2990,1381867,18506,0.0133920268737874,"Fibroblasts"
"kCHXm2TR","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","kCHXm2TR",3777,589703,3931,0.00666606749499324,"Fibroblasts"
"l4hDRtzu","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","l4hDRtzu",2850,248958,3948,0.0158580965464054,"Fibroblasts"
"mSQ5pVmp","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","mSQ5pVmp",2534,374815,6046,0.0161306244413911,"Fibroblasts"
"OLCBnYUJ","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","OLCBnYUJ",2971,243536,2754,0.0113083897247224,"Fibroblasts"
"U5tMCWZs","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","U5tMCWZs",3403,633503,8117,0.0128128832854777,"Fibroblasts"
"v1vFyPvR","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","v1vFyPvR",2531,386144,9435,0.0244338899477915,"Fibroblasts"
"vCxwgXcB","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","vCxwgXcB",3046,970048,12477,0.0128622501154582,"Fibroblasts"
"VgHxytMj","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","VgHxytMj",3377,596010,7603,0.0127564973742051,"Fibroblasts"
"vudXE9K1","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","vudXE9K1",2987,1195755,8528,0.00713189574787477,"Fibroblasts"
"WbisdM84","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","WbisdM84",3047,305616,4983,0.0163047746191299,"Fibroblasts"
"WDiArPCK","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","WDiArPCK",3048,1042702,13553,0.0129979610665367,"Fibroblasts"
"www9kx6E","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","www9kx6E",3195,312479,5408,0.0173067630144746,"Fibroblasts"
"WzPpeu49","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","WzPpeu49",3509,510657,9171,0.0179592172436684,"Fibroblasts"
"XwZYnLSk","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","XwZYnLSk",3186,295541,4929,0.0166778890238579,"Fibroblasts"
"YoQB9zM9","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","YoQB9zM9",1612,30216,1368,0.04527402700556,"Myoblasts"
"ZaiWUiKY","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","ZaiWUiKY",3458,1657123,22667,0.0136785259754406,"Fibroblasts"
"1xlpBCB8","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","1xlpBCB8",1916,258147,3390,0.0131320526676661,"Endothelial cells"
"2XgXWaQ5","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","2XgXWaQ5",1505,162194,1825,0.0112519575323378,"Endothelial cells"
