"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"KnsGTUUh","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","KnsGTUUh",221,13433,13022,0.969403707288022,"Unknown"
"KU3TwEfD","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","KU3TwEfD",206,25234,24767,0.981493223428707,"Unknown"
"KYSLiIcg","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","KYSLiIcg",1539,69479,7481,0.107672822003771,"Macrophages"
"lh4fGDg4","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","lh4fGDg4",192,17101,15522,0.907666218349804,"Unknown"
"LoEQD1wU","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","LoEQD1wU",977,103002,8720,0.0846585503194113,"Neutrophils"
"LQRdQAoP","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","LQRdQAoP",476,20737,10436,0.503255051357477,"Endothelial cells"
"Lvzj0KRH","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","Lvzj0KRH",1829,267544,48880,0.182698920551386,"Endothelial cells"
"LxUKHUYR","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","LxUKHUYR",2361,563707,14074,0.0249668710872847,"Endothelial cells"
"M3HIKpke","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","M3HIKpke",194,14572,14279,0.979892945374691,"Unknown"
"M6B0pASo","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","M6B0pASo",2941,270008,18739,0.0694016473585968,"T memory cells"
"M9NpZp20","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","M9NpZp20",2174,103221,6399,0.0619931990583312,"Macrophages"
"MGs5HZkU","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","MGs5HZkU",2852,103970,3302,0.0317591612965278,"Fibroblasts"
"mtUYNJ1z","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","mtUYNJ1z",231,11312,8745,0.773072842998586,"Unknown"
"nb7WlMjd","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","nb7WlMjd",1221,18818,1149,0.0610585609522797,"Endothelial cells"
"nBYjdMkG","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","nBYjdMkG",3611,673528,11985,0.0177943604423276,"Fibroblasts"
"NjJislQJ","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","NjJislQJ",513,19194,9564,0.498280712722726,"Endothelial cells"
"nMtvKy8b","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","nMtvKy8b",3701,726264,15708,0.0216284987277354,"Fibroblasts"
"nN9St71y","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","nN9St71y",193,14738,8220,0.557741891708509,"Endothelial cells"
"nOG4uCUJ","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","nOG4uCUJ",239,23786,23409,0.98415034053645,"Unknown"
"o89nxSr8","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","o89nxSr8",151,52417,37616,0.717629776599195,"Erythroid-like and erythroid precursor cells"
"OOfdS4lv","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","OOfdS4lv",1250,18081,1086,0.0600630496100879,"Endothelial cells"
"OVWJS6iJ","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","OVWJS6iJ",1634,126175,14300,0.11333465425005,"Endothelial cells"
"p2oRWYWd","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","p2oRWYWd",201,14179,7727,0.544960857606319,"Unknown"
"P7JAbuQa","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","P7JAbuQa",1463,105017,28557,0.271927402230115,"Endothelial cells"
"phy7JXrd","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","phy7JXrd",379,30979,8618,0.278188450240485,"Cardiomyocytes"
"PPrGOBvY","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","PPrGOBvY",2175,212046,19854,0.0936306273167143,"Endothelial cells"
"pse0nOKe","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","pse0nOKe",1151,32816,9938,0.302840078010726,"Endothelial cells"
"pxGcQBv2","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","pxGcQBv2",636,11846,9010,0.760594293432382,"Unknown"
"QHyAkbvo","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","QHyAkbvo",1141,30418,9276,0.304951015845881,"Endothelial cells"
"QKBF9CXV","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","QKBF9CXV",255,22569,21643,0.958970268952989,"Unknown"
