"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"JkurZEBO","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","JkurZEBO",2581,750658,10334,0.0137665887794442,"Fibroblasts"
"JMMFlJRr","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","JMMFlJRr",3953,747303,19809,0.0265073203238847,"Pulmonary alveolar type II cells"
"jyGkJcv2","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","jyGkJcv2",3486,567802,19414,0.0341914963314677,"Pulmonary alveolar type II cells"
"K2DmhjcL","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","K2DmhjcL",2959,1089544,21718,0.0199331096311852,"Pulmonary alveolar type II cells"
"KhwsLpYA","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","KhwsLpYA",3214,1148576,12563,0.0109378917894854,"Macrophages"
"knfP7N7E","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","knfP7N7E",1519,445934,14298,0.0320630407190302,"B cells"
"kuNd2omo","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","kuNd2omo",1764,172513,1463,0.00848052030861442,"Endothelial cells"
"l0gLYsif","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","l0gLYsif",941,188985,654,0.00346059211048496,"Neutrophils"
"l3xD3wuF","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","l3xD3wuF",1419,1029855,10226,0.00992955318952668,"Fibroblasts"
"LhDDehc1","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","LhDDehc1",2997,731265,9697,0.0132605826889021,"Dendritic cells"
"lTekUioJ","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","lTekUioJ",2266,303655,3768,0.0124088192191797,"Endothelial cells"
"LUdToqm4","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","LUdToqm4",1871,1062897,2134,0.00200772040940938,"Fibroblasts"
"mOq74BXm","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","mOq74BXm",3013,293661,4900,0.0166859065384917,"Endothelial cells"
"Mw6Ob168","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","Mw6Ob168",1884,110363,2189,0.0198345459982059,"Endothelial cells"
"N33ATg12","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","N33ATg12",1859,117310,2396,0.0204245162390248,"Endothelial cells"
"NJIS2tZ5","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","NJIS2tZ5",2615,708508,8460,0.0119405850039802,"Macrophages"
"ntSjrA4U","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","ntSjrA4U",3488,1197593,21316,0.0177990352315019,"Clara cells"
"O4uSuZ0u","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","O4uSuZ0u",3161,379054,3052,0.00805162325156838,"Macrophages"
"OkQl0AG2","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","OkQl0AG2",3464,1029034,8993,0.00873926420312643,"Fibroblasts"
"oOAu9HRP","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","oOAu9HRP",2618,298794,6002,0.0200874180873779,"Alveolar macrophages"
"OYY7uK7H","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","OYY7uK7H",886,431843,5625,0.0130255671621399,"Neutrophils"
"pcT4YHKr","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","pcT4YHKr",2619,762093,8936,0.0117256030431981,"Macrophages"
"PnvIdCxD","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","PnvIdCxD",3095,323906,2762,0.00852716528869487,"Endothelial cells"
"Pw8DD0cR","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","Pw8DD0cR",3102,350044,3035,0.00867033858600633,"Endothelial cells"
"qfimB39u","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","qfimB39u",1764,407582,13196,0.0323763070989396,"NK cells"
"Qo5sJzfb","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","Qo5sJzfb",1882,314763,5839,0.0185504649529964,"Macrophages"
"qO8BbCFS","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","qO8BbCFS",2863,1093364,10775,0.00985490650871988,"Macrophages"
"QxMO2Vnf","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","QxMO2Vnf",3099,546542,8318,0.0152193244069074,"Pulmonary alveolar type II cells"
"R2zhvekz","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","R2zhvekz",1616,263109,10367,0.0394019208768989,"Endothelial cells"
"rfh3CSzg","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","rfh3CSzg",3090,1258340,17745,0.0141019120428501,"Dendritic cells"
"rm2xHSm5","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","rm2xHSm5",690,852159,23683,0.0277917618660367,"Fibroblasts"
"RnGSHsHt","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","RnGSHsHt",3140,711003,18055,0.02539370438662,"Pulmonary alveolar type II cells"
"s4EF7V6k","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","s4EF7V6k",3302,670234,10492,0.0156542341928341,"Dendritic cells"
"saaQsmjV","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","saaQsmjV",1817,451537,4027,0.00891842750427983,"Macrophages"
"scVp5Mn3","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","scVp5Mn3",1417,964291,9463,0.00981342768935933,"Fibroblasts"
"sJT54tHF","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","sJT54tHF",4655,1693119,21527,0.0127144045988498,"Ependymal cells"
"SvEq2wTw","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","SvEq2wTw",2958,668950,9270,0.0138575379325809,"Dendritic cells"
"sxsWLbe4","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","sxsWLbe4",1771,372459,12309,0.0330479327926027,"NK cells"
"th7Rn8o9","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","th7Rn8o9",1158,225093,7314,0.0324932361290667,"Endothelial cells"
