"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"xmH5jSYF","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","xmH5jSYF",204,15182,12072,0.795152153866421,"Unknown"
"xvEKwbVx","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","xvEKwbVx",5398,1408766,37332,0.0264997877575126,"Endothelial cells"
"y2C6kCtm","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","y2C6kCtm",414,17723,9021,0.508999605033008,"Unknown"
"YdZFVbfR","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","YdZFVbfR",328,52139,30208,0.579374364679031,"Unknown"
"yOBA3Z2r","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","yOBA3Z2r",2436,152865,3359,0.0219736368691329,"Oligodendrocytes"
"yPKpThhL","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","yPKpThhL",342,83318,47754,0.573153460236684,"Unknown"
"z7tC6uUf","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","z7tC6uUf",305,71741,48561,0.676893268842085,"Unknown"
"ZnTbYNPm","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","ZnTbYNPm",202,14264,11338,0.794868199663489,"Unknown"
"zup99wW2","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","zup99wW2",3760,3658635,113083,0.0309085218940944,"Oligodendrocytes"
"zX3YATlA","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","zX3YATlA",3585,1240754,16510,0.013306424964175,"Endothelial cells"
