"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"39e6f75e","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","39e6f75e",3539,136487,23817,0.174500135544044,"Unknown"
"3a5d2670","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3a5d2670",6624,402649,13334,0.0331156913341397,"Unknown"
"3a6fffec","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3a6fffec",5176,155115,3033,0.0195532346968378,"Unknown"
"3a895e92","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3a895e92",5306,134177,4978,0.0371002481796433,"Unknown"
"3acc880e","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3acc880e",5762,217134,8494,0.0391187008943786,"Unknown"
"3af26d32","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3af26d32",5018,113805,3790,0.0333025789728044,"Unknown"
"3b001d40","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3b001d40",4694,189281,15714,0.0830194261441983,"Unknown"
"3b1c731e","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3b1c731e",5676,204815,11535,0.0563191172521544,"Unknown"
"3b2d334f","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3b2d334f",4093,97471,4784,0.0490812651968278,"Unknown"
"3b5cf6dc","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3b5cf6dc",4421,136507,6127,0.0448841451354143,"Unknown"
"3bac884c","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3bac884c",5912,133150,4280,0.0321441982726249,"Unknown"
"3bac9a4a","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3bac9a4a",2188,42117,13661,0.324358335114087,"Endothelial cells"
"3bb45467","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3bb45467",5898,126498,4548,0.0359531375990134,"Unknown"
"3bd14f89","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3bd14f89",1258,28673,19897,0.693928085655495,"Unknown"
"3c0541ce","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3c0541ce",6388,192556,5602,0.0290928353310206,"Unknown"
"3c0de69f","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3c0de69f",4274,133335,5426,0.0406944913188585,"Unknown"
"3c5998b5","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3c5998b5",5915,298280,27091,0.0908240579321443,"Unknown"
"3c776b5c","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3c776b5c",5717,103011,3688,0.0358020017279708,"Unknown"
"3cdc4be6","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3cdc4be6",6413,332841,15700,0.0471696696020022,"Unknown"
"3d0c269f","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3d0c269f",4053,99388,7469,0.0751499174950698,"Smooth muscle cells"
"3d617364","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3d617364",6238,180814,8331,0.0460749720707467,"Unknown"
"3d6a67a3","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3d6a67a3",6295,267414,13240,0.0495112447366256,"Unknown"
"3d7fcee2","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3d7fcee2",2898,80325,10432,0.129872393401805,"Unknown"
"3dda4be4","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3dda4be4",3260,64080,14480,0.225967540574282,"Unknown"
"3de86aab","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3de86aab",4186,114204,4324,0.0378620713810374,"Unknown"
"3e462012","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3e462012",4532,164522,43982,0.267332028543295,"Unknown"
"3e6442c3","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3e6442c3",6600,307886,10426,0.033863183126222,"Unknown"
"3eb03181","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3eb03181",6449,204049,8050,0.0394513082641914,"Unknown"
"3ef85865","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3ef85865",4977,181693,16601,0.0913684071483216,"Unknown"
"3f0e1b02","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3f0e1b02",1708,34013,16607,0.488254490929939,"Unknown"
"3f75a2a7","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3f75a2a7",6053,278410,13323,0.0478538845587443,"Unknown"
"3f96167a","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3f96167a",5184,272589,21321,0.0782166558445132,"Endothelial cells"
"3fa25959","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3fa25959",7394,246068,10619,0.043154737714778,"Unknown"
"3fcb3f67","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3fcb3f67",5419,106384,8693,0.0817134155512107,"Unknown"
"3ff78aa0","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","3ff78aa0",4112,39857,1226,0.0307599668816017,"Unknown"
"4028b48b","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","4028b48b",3569,82311,8786,0.106741504780649,"Unknown"
"406650f9","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","406650f9",1643,26073,10402,0.39895677520807,"Unknown"
"4086ea30","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","4086ea30",2244,34432,3209,0.093198187732342,"Unknown"
